Name,date of death,date of birth,Place,country,latitude,longitude
Johannes Bertelius,1607-06-19T00:00:00Z,1544-10-12T00:00:00Z,Leuven,Belgium,50.8775,4.704444
Johannes Bertelius,1607-06-19T00:00:00Z,1544-10-12T00:00:00Z,Echternach,Luxembourg,49.811666666667,6.4216666666667
Johannes Bertelius,1607-06-19T00:00:00Z,1544-10-12T00:00:00Z,Luxembourg,Luxembourg,49.610555555556,6.1327777777778
François Bertemes,,1958-01-24T00:00:00Z,Halle (Saale),Germany,51.48277777777778,11.969722222222222
François Bertemes,,1958-01-24T00:00:00Z,Luxembourg,Luxembourg,49.610555555556,6.1327777777778
François Bertemes,,1958-01-24T00:00:00Z,Saarbrücken,Germany,49.233333333333,7
François Bertemes,,1958-01-24T00:00:00Z,Paris,France,48.85666666666667,2.352222222222222
Jean Bertholet,1755-02-26T00:00:00Z,1688-12-30T00:00:00Z,Vielsalm,Belgium,50.286111111111,5.9180555555556
Jean Bertholet,1755-02-26T00:00:00Z,1688-12-30T00:00:00Z,Luxembourg,Luxembourg,49.610555555556,6.1327777777778
Jean Bertholet,1755-02-26T00:00:00Z,1688-12-30T00:00:00Z,Tournai,Belgium,50.605555555555554,3.388055555555556
Jean Bertholet,1755-02-26T00:00:00Z,1688-12-30T00:00:00Z,Namur,Belgium,50.466666666667,4.8666666666667
Jean Bertholet,1755-02-26T00:00:00Z,1688-12-30T00:00:00Z,Trier,Germany,49.75565,6.63935
Jean Bertholet,1755-02-26T00:00:00Z,1688-12-30T00:00:00Z,Liège,Belgium,50.639722222222225,5.570555555555556
Philippe Henri Blasen,,1987-09-19T00:00:00Z,Bertrange,Luxembourg,49.611111111111,6.05
Philippe Henri Blasen,,1987-09-19T00:00:00Z,Luxembourg,Luxembourg,49.610555555556,6.1327777777778
Philippe Henri Blasen,,1987-09-19T00:00:00Z,Lausanne,Switzerland,46.533333333333,6.6333333333333
Philippe Henri Blasen,,1987-09-19T00:00:00Z,Dudelange,Luxembourg,49.48056,6.0875
Philippe Henri Blasen,,1987-09-19T00:00:00Z,Cluj-Napoca,Romania,46.76891,23.59066
Lucien Blau,,1953-08-11T00:00:00Z,Luxembourg,Luxembourg,49.610555555556,6.1327777777778
Lucien Blau,,1953-08-11T00:00:00Z,Metz,France,49.119722222222,6.1769444444444
Martin Blum,1924-01-20T00:00:00Z,1845-06-13T00:00:00Z,Luxembourg,Luxembourg,49.610555555556,6.1327777777778
Nicolas Bosseler,1994-04-02T00:00:00Z,1904-03-07T00:00:00Z,Beckerich,Luxembourg,49.730555555555554,5.883333333333333
Nicolas Bosseler,1994-04-02T00:00:00Z,1904-03-07T00:00:00Z,Luxembourg,Luxembourg,49.610555555556,6.1327777777778
Nicolas Bosseler,1994-04-02T00:00:00Z,1904-03-07T00:00:00Z,Brussels,Belgium,50.846666666666664,4.351666666666667
Roger Bour,,1942-11-27T00:00:00Z,Pétange,Luxembourg,49.556388888889,5.8769444444444
Roger Bour,,1942-11-27T00:00:00Z,Luxembourg,Luxembourg,49.610555555556,6.1327777777778
Hubert Brasseur,1890-01-23T00:00:00Z,1823-03-20T00:00:00Z,Bar-le-Duc,France,48.771666666667,5.1672222222222
Hubert Brasseur,1890-01-23T00:00:00Z,1823-03-20T00:00:00Z,Liège,Belgium,50.639722222222225,5.570555555555556
Hubert Brasseur,1890-01-23T00:00:00Z,1823-03-20T00:00:00Z,Ghent,Belgium,51.05361111111111,3.725277777777778
Jean-Pierre Brimmeyr,1876-08-25T00:00:00Z,1799-03-26T00:00:00Z,Echternach,Luxembourg,49.811666666667,6.4216666666667
Albert Calmes,1967-09-22T00:00:00Z,1881-02-26T00:00:00Z,Paris,France,48.85666666666667,2.352222222222222
Albert Calmes,1967-09-22T00:00:00Z,1881-02-26T00:00:00Z,Luxembourg,Luxembourg,49.610555555556,6.1327777777778
Christian Calmes,1995-07-05T00:00:00Z,1913-07-13T00:00:00Z,Oberursel,Germany,50.202777777778,8.5769444444444
Christian Calmes,1995-07-05T00:00:00Z,1913-07-13T00:00:00Z,Grasse,France,43.658055555556,6.9252777777778
Christian Calmes,1995-07-05T00:00:00Z,1913-07-13T00:00:00Z,Luxembourg,Luxembourg,49.610555555556,6.1327777777778
Paul Cerf,2003-01-10T00:00:00Z,1929-11-27T00:00:00Z,Brussels,Belgium,50.846666666666664,4.351666666666667
Paul Cerf,2003-01-10T00:00:00Z,1929-11-27T00:00:00Z,Luxembourg,Luxembourg,49.610555555556,6.1327777777778
Victor Conzemius,2017-06-24T00:00:00Z,1929-09-03T00:00:00Z,Echternach,Luxembourg,49.811666666667,6.4216666666667
Victor Conzemius,2017-06-24T00:00:00Z,1929-09-03T00:00:00Z,Fribourg,Switzerland,46.8,7.15
Victor Conzemius,2017-06-24T00:00:00Z,1929-09-03T00:00:00Z,Steinsel,Luxembourg,49.676388888889,6.1236111111111
Victor Conzemius,2017-06-24T00:00:00Z,1929-09-03T00:00:00Z,Munich,Germany,48.1375,11.575
Victor Conzemius,2017-06-24T00:00:00Z,1929-09-03T00:00:00Z,Dublin,Ireland,53.34972222222222,-6.260277777777778
Victor Conzemius,2017-06-24T00:00:00Z,1929-09-03T00:00:00Z,Ireland,Ireland,53,-8
Victor Conzemius,2017-06-24T00:00:00Z,1929-09-03T00:00:00Z,Lucerne,Switzerland,47.0523,8.3059
Pierre Decock,,1959-08-19T00:00:00Z,La Louvière,Belgium,50.477777777778,4.1880555555556
Pierre Decock,,1959-08-19T00:00:00Z,Bollenduerfer Bréck,Luxembourg,49.8496,6.3581
Pierre Decock,,1959-08-19T00:00:00Z,Luxembourg,Luxembourg,49.610555555556,6.1327777777778
Pierre Decock,,1959-08-19T00:00:00Z,Metz,France,49.119722222222,6.1769444444444
Arthur Diderrich,1950-05-02T00:00:00Z,1892-10-27T00:00:00Z,Paris,France,48.85666666666667,2.352222222222222
Arthur Diderrich,1950-05-02T00:00:00Z,1892-10-27T00:00:00Z,Mondorf-les-Bains,Luxembourg,49.506944444444,6.2805555555556
Émile Diderrich,1933-09-30T00:00:00Z,1881-12-14T00:00:00Z,Luxembourg,Luxembourg,49.610555555556,6.1327777777778
Nicolas Didier,1951-12-31T00:00:00Z,1881-10-27T00:00:00Z,Fribourg,Switzerland,46.8,7.15
Nicolas Didier,1951-12-31T00:00:00Z,1881-10-27T00:00:00Z,Rodenbourg,Luxembourg,49.683333333333,6.2833333333333
Nicolas Didier,1951-12-31T00:00:00Z,1881-10-27T00:00:00Z,Anhalt,Germany,51.833333,12.25
Nicolas Didier,1951-12-31T00:00:00Z,1881-10-27T00:00:00Z,Luxembourg,Luxembourg,49.610555555556,6.1327777777778
Nicolas Didier,1951-12-31T00:00:00Z,1881-10-27T00:00:00Z,Echternach,Luxembourg,49.811666666667,6.4216666666667
Paul Dostert,,1951-04-27T00:00:00Z,Luxembourg,Luxembourg,49.610555555556,6.1327777777778
Paul Dostert,,1951-04-27T00:00:00Z,Freiburg im Breisgau,Germany,47.995,7.85
Fernand Emmel,2021-09-16T00:00:00Z,1945-03-09T00:00:00Z,Luxembourg,Luxembourg,49.610555555556,6.1327777777778
Fernand Emmel,2021-09-16T00:00:00Z,1945-03-09T00:00:00Z,Nancy,France,48.692777777778,6.1836111111111
Fernand Emmel,2021-09-16T00:00:00Z,1945-03-09T00:00:00Z,Bonn,Germany,50.735277777777775,7.102222222222222
Fernand Emmel,2021-09-16T00:00:00Z,1945-03-09T00:00:00Z,Marburg,Germany,50.816666666667,8.7666666666667
Johannes Enen,1519-07-31T00:00:00Z,1483-01-01T00:00:00Z,Ehnen,Luxembourg,49.6,6.3833333333333
,,1480-01-01T00:00:00Z,,,,
Johannes Enen,1519-07-31T00:00:00Z,1483-01-01T00:00:00Z,Trier,Germany,49.75565,6.63935
Johannes Enen,1519-07-31T00:00:00Z,1483-01-01T00:00:00Z,Ashdod,Israel,31.797777777778,34.650277777778
Johann Engling,1888-03-13T00:00:00Z,1801-10-13T00:00:00Z,Luxembourg,Luxembourg,49.610555555556,6.1327777777778
Johann Engling,1888-03-13T00:00:00Z,1801-10-13T00:00:00Z,Luxembourg,Luxembourg,49.610555555556,6.1327777777778
Johann Engling,1888-03-13T00:00:00Z,1801-10-13T00:00:00Z,Echternach,Luxembourg,49.811666666667,6.4216666666667
Jean Ensch,,1953-05-23T00:00:00Z,Luxembourg,Luxembourg,49.610555555556,6.1327777777778
Jean Ensch,,1953-05-23T00:00:00Z,Wisconsin,United States,44.5,-89.5
Jean Ensch,,1953-05-23T00:00:00Z,New York City,United States,40.71277777777778,-74.00611111111111
Al Estgen,2021-01-01T00:00:00Z,1942-01-01T00:00:00Z,Luxembourg,Luxembourg,49.610555555556,6.1327777777778
Al Estgen,2021-01-01T00:00:00Z,1942-01-01T00:00:00Z,Diekirch,Luxembourg,49.86778,6.15583
Al Estgen,2021-01-01T00:00:00Z,1942-01-01T00:00:00Z,Echternach,Luxembourg,49.811666666667,6.4216666666667
Norbert Etringer,2001-01-23T00:00:00Z,1913-11-04T00:00:00Z,Livange,Luxembourg,49.533333333333,6.1166666666667
Norbert Etringer,2001-01-23T00:00:00Z,1913-11-04T00:00:00Z,Luxembourg,Luxembourg,49.610555555556,6.1327777777778
Norbert Etringer,2001-01-23T00:00:00Z,1913-11-04T00:00:00Z,Bautzen,Germany,51.181388888889,14.423888888889
Pierre Even,,1946-12-04T00:00:00Z,Wiesbaden,Germany,50.0825,8.24
Pierre Even,,1946-12-04T00:00:00Z,Beaufort,Luxembourg,49.833333333333,6.2833333333333
Pierre Even,,1946-12-04T00:00:00Z,Metz,France,49.119722222222,6.1769444444444
Pierre Even,,1946-12-04T00:00:00Z,Luxembourg,Luxembourg,49.610555555556,6.1327777777778
Simone Feis,,1981-01-01T00:00:00Z,Diekirch,Luxembourg,49.86778,6.15583
Simone Feis,,1981-01-01T00:00:00Z,Brussels,Belgium,50.846666666666664,4.351666666666667
Simone Feis,,1981-01-01T00:00:00Z,Luxembourg,Luxembourg,49.610555555556,6.1327777777778
Paul Feltes,,1969-08-01T00:00:00Z,Echternach,Luxembourg,49.811666666667,6.4216666666667
Paul Feltes,,1969-08-01T00:00:00Z,Strasbourg,France,48.573333333333,7.7522222222222
Paul Feltes,,1969-08-01T00:00:00Z,Luxembourg,Luxembourg,49.610555555556,6.1327777777778
Paul Feltes,,1969-08-01T00:00:00Z,Paris,France,48.85666666666667,2.352222222222222
Joseph Flies,1998-08-05T00:00:00Z,1910-05-14T00:00:00Z,Luxembourg,Luxembourg,49.610555555556,6.1327777777778
Joseph Flies,1998-08-05T00:00:00Z,1910-05-14T00:00:00Z,Leuven,Belgium,50.8775,4.704444
Joseph Flies,1998-08-05T00:00:00Z,1910-05-14T00:00:00Z,Paris,France,48.85666666666667,2.352222222222222
Joseph Flies,1998-08-05T00:00:00Z,1910-05-14T00:00:00Z,Esch-sur-Alzette,Luxembourg,49.496944444444,5.9805555555556
Jean-Pierre Franck,1950-10-28T00:00:00Z,1895-01-13T00:00:00Z,Luxembourg,Luxembourg,49.610555555556,6.1327777777778
Jean-Pierre Franck,1950-10-28T00:00:00Z,1895-01-13T00:00:00Z,Fribourg,Switzerland,46.8,7.15
Jean-Pierre Franck,1950-10-28T00:00:00Z,1895-01-13T00:00:00Z,Munich,Germany,48.1375,11.575
Jean-Pierre Franck,1950-10-28T00:00:00Z,1895-01-13T00:00:00Z,Strasbourg,France,48.573333333333,7.7522222222222
Jean-Pierre Franck,1950-10-28T00:00:00Z,1895-01-13T00:00:00Z,Diekirch,Luxembourg,49.86778,6.15583
Frantz Funck-Brentano,1947-06-13T00:00:00Z,1862-06-15T00:00:00Z,Munsbach,Luxembourg,49.630833,6.2675
Frantz Funck-Brentano,1947-06-13T00:00:00Z,1862-06-15T00:00:00Z,Paris,France,48.85666666666667,2.352222222222222
Frantz Funck-Brentano,1947-06-13T00:00:00Z,1862-06-15T00:00:00Z,Le Raincy,France,48.899166666667,2.5230555555556
Gilles Genot,,1991-01-01T00:00:00Z,Luxembourg,Luxembourg,49.610555555556,6.1327777777778
Gilles Genot,,1991-01-01T00:00:00Z,Sheffield,United Kingdom,53.380833333333335,-1.4702777777777778
Gilles Genot,,1991-01-01T00:00:00Z,Paris,France,48.85666666666667,2.352222222222222
Jean-Pierre Glaesener,1901-06-11T00:00:00Z,1831-06-29T00:00:00Z,Colmar-Berg,Luxembourg,49.811111111111,6.0972222222222
Jean-Pierre Glaesener,1901-06-11T00:00:00Z,1831-06-29T00:00:00Z,Diekirch,Luxembourg,49.86778,6.15583
Jean-Pierre Glaesener,1901-06-11T00:00:00Z,1831-06-29T00:00:00Z,Luxembourg,Luxembourg,49.610555555556,6.1327777777778
Henri Goedert,,1951-01-09T00:00:00Z,Luxembourg,Luxembourg,49.610555555556,6.1327777777778
Joseph Goedert,2012-08-09T00:00:00Z,1908-07-27T00:00:00Z,Diekirch,Luxembourg,49.86778,6.15583
Joseph Goedert,2012-08-09T00:00:00Z,1908-07-27T00:00:00Z,Luxembourg,Luxembourg,49.610555555556,6.1327777777778
Joseph Goedert,2012-08-09T00:00:00Z,1908-07-27T00:00:00Z,Paris,France,48.85666666666667,2.352222222222222
Joseph Goedert,2012-08-09T00:00:00Z,1908-07-27T00:00:00Z,Rambrouch,Luxembourg,49.829875,5.8497805555556
Germaine Goetzinger,,1947-05-05T00:00:00Z,Dudelange,Luxembourg,49.48056,6.0875
Nicolas Gonner,1892-12-20T00:00:00Z,1835-01-08T00:00:00Z,Luxembourg,Luxembourg,49.610555555556,6.1327777777778
Nicolas Gonner,1892-12-20T00:00:00Z,1835-01-08T00:00:00Z,Dubuque,United States,42.504321,-90.686865
André Grosbusch,,1960-01-17T00:00:00Z,Diekirch,Luxembourg,49.86778,6.15583
André Grosbusch,,1960-01-17T00:00:00Z,Luxembourg,Luxembourg,49.610555555556,6.1327777777778
André Grosbusch,,1960-01-17T00:00:00Z,Paris,France,48.85666666666667,2.352222222222222
André Grosbusch,,1960-01-17T00:00:00Z,Poznań,Poland,52.40833333333333,16.933611111111112
Emile Haag,,1942-07-24T00:00:00Z,Diekirch,Luxembourg,49.86778,6.15583
Emile Haag,,1942-07-24T00:00:00Z,Hunsdorf,Luxembourg,49.69,6.13
Emile Haag,,1942-07-24T00:00:00Z,Luxembourg,Luxembourg,49.610555555556,6.1327777777778
Emile Haag,,1942-07-24T00:00:00Z,Aix-en-Provence,France,43.527777777778,5.4455555555556
Emile Haag,,1942-07-24T00:00:00Z,Paris,France,48.85666666666667,2.352222222222222
Emile Haag,,1942-07-24T00:00:00Z,Differdange,Luxembourg,49.5222,5.8917
Pierre Hamer,2003-02-14T00:00:00Z,1916-03-23T00:00:00Z,Differdange,Luxembourg,49.5222,5.8917
Pierre Hamer,2003-02-14T00:00:00Z,1916-03-23T00:00:00Z,Luxembourg,Luxembourg,49.610555555556,6.1327777777778
Pierre Hamer,2003-02-14T00:00:00Z,1916-03-23T00:00:00Z,Paris,France,48.85666666666667,2.352222222222222
Pierre Hamer,2003-02-14T00:00:00Z,1916-03-23T00:00:00Z,Brussels,Belgium,50.846666666666664,4.351666666666667
Pierre Hamer,2003-02-14T00:00:00Z,1916-03-23T00:00:00Z,Frankfurt,Germany,50.11055555555556,8.682222222222222
Georges Heisbourg,2008-04-28T00:00:00Z,1918-04-19T00:00:00Z,Hesperange,Luxembourg,49.570833333333,6.1513888888889
Georges Heisbourg,2008-04-28T00:00:00Z,1918-04-19T00:00:00Z,Luxembourg,Luxembourg,49.610555555556,6.1327777777778
Georges Heisbourg,2008-04-28T00:00:00Z,1918-04-19T00:00:00Z,Grenoble,France,45.186944444444,5.7263888888889
Georges Heisbourg,2008-04-28T00:00:00Z,1918-04-19T00:00:00Z,Innsbruck,Austria,47.268333333333,11.393333333333
Georges Heisbourg,2008-04-28T00:00:00Z,1918-04-19T00:00:00Z,London,United Kingdom,51.507222222222,-0.1275
Georges Heisbourg,2008-04-28T00:00:00Z,1918-04-19T00:00:00Z,"Washington, D.C.",United States,38.895,-77.036666666667
Georges Heisbourg,2008-04-28T00:00:00Z,1918-04-19T00:00:00Z,New York City,United States,40.71277777777778,-74.00611111111111
Georges Heisbourg,2008-04-28T00:00:00Z,1918-04-19T00:00:00Z,Canada,Canada,56,-109
Georges Heisbourg,2008-04-28T00:00:00Z,1918-04-19T00:00:00Z,Mexico City,Mexico,19.353773,-99.13589
Georges Heisbourg,2008-04-28T00:00:00Z,1918-04-19T00:00:00Z,Strasbourg,France,48.573333333333,7.7522222222222
Georges Heisbourg,2008-04-28T00:00:00Z,1918-04-19T00:00:00Z,Paris,France,48.85666666666667,2.352222222222222
Arthur Herchen,1931-11-02T00:00:00Z,1850-01-24T00:00:00Z,Luxembourg,Luxembourg,49.610555555556,6.1327777777778
Arthur Herchen,1931-11-02T00:00:00Z,1850-01-24T00:00:00Z,Leuven,Belgium,50.8775,4.704444
Arthur Herchen,1931-11-02T00:00:00Z,1850-01-24T00:00:00Z,Bonn,Germany,50.735277777777775,7.102222222222222
Arthur Herchen,1931-11-02T00:00:00Z,1850-01-24T00:00:00Z,Berlin,Germany,52.516666666667,13.383333333333
Joseph Herr,1989-12-06T00:00:00Z,1910-07-14T00:00:00Z,Clervaux,Luxembourg,50.05,6.0333333333333
Joseph Herr,1989-12-06T00:00:00Z,1910-07-14T00:00:00Z,Diekirch,Luxembourg,49.86778,6.15583
Serge Hoffmann,,1949-07-24T00:00:00Z,Strasbourg,France,48.573333333333,7.7522222222222
Serge Hoffmann,,1949-07-24T00:00:00Z,Luxembourg,Luxembourg,49.610555555556,6.1327777777778
Serge Hoffmann,,1949-07-24T00:00:00Z,Caen,France,49.18138888888889,-0.3636111111111111
Serge Hoffmann,,1949-07-24T00:00:00Z,Bettembourg,Luxembourg,49.51861,6.10278
Serge Hoffmann,,1949-07-24T00:00:00Z,Dudelange,Luxembourg,49.48056,6.0875
André Hohengarten,,1939-09-09T00:00:00Z,Luxembourg,Luxembourg,49.610555555556,6.1327777777778
Joseph Hurt,1962-03-25T00:00:00Z,1892-08-13T00:00:00Z,Grevenmacher,Luxembourg,49.680555555556,6.4416666666667
Joseph Hurt,1962-03-25T00:00:00Z,1892-08-13T00:00:00Z,Echternach,Luxembourg,49.811666666667,6.4216666666667
Joseph Hurt,1962-03-25T00:00:00Z,1892-08-13T00:00:00Z,Kiischpelt,Luxembourg,49.991944444444,6.0061111111111
Marie-Paule Jungblut,,1964-10-12T00:00:00Z,Fribourg,Switzerland,46.8,7.15
Marie-Paule Jungblut,,1964-10-12T00:00:00Z,Luxembourg,Luxembourg,49.610555555556,6.1327777777778
Marie-Paule Jungblut,,1964-10-12T00:00:00Z,Göttingen,Germany,51.533888888889,9.9355555555556
Marie-Paule Jungblut,,1964-10-12T00:00:00Z,Florence,Italy,43.771388888889,11.254166666667
Marie-Paule Jungblut,,1964-10-12T00:00:00Z,Manchester,United Kingdom,53.466666666667,-2.2333333333333
Marie-Paule Jungblut,,1964-10-12T00:00:00Z,Basel,Switzerland,47.560555555556,7.5905555555556
Victor Kalmes,2014-11-11T00:00:00Z,1921-05-16T00:00:00Z,Rameldange,Luxembourg,49.65,6.2333333333333
Victor Kalmes,2014-11-11T00:00:00Z,1921-05-16T00:00:00Z,Brachtenbach,Luxembourg,50.016666666667,5.9166666666667
Victor Kalmes,2014-11-11T00:00:00Z,1921-05-16T00:00:00Z,Bissen,Luxembourg,49.783333333333,6.0666666666667
Fred Karen,2011-10-07T00:00:00Z,1932-03-31T00:00:00Z,Rosport,Luxembourg,49.79778,6.50417
Fred Karen,2011-10-07T00:00:00Z,1932-03-31T00:00:00Z,Luxembourg,Luxembourg,49.610555555556,6.1327777777778
Fred Karen,2011-10-07T00:00:00Z,1932-03-31T00:00:00Z,Echternach,Luxembourg,49.811666666667,6.4216666666667
Fred Karen,2011-10-07T00:00:00Z,1932-03-31T00:00:00Z,Diekirch,Luxembourg,49.86778,6.15583
Pierre Kauthen,,1936-07-30T00:00:00Z,Differdange,Luxembourg,49.5222,5.8917
Pierre Kauthen,,1936-07-30T00:00:00Z,Luxembourg,Luxembourg,49.610555555556,6.1327777777778
Pierre Kauthen,,1936-07-30T00:00:00Z,Paris,France,48.85666666666667,2.352222222222222
Pierre Kauthen,,1936-07-30T00:00:00Z,Aix-en-Provence,France,43.527777777778,5.4455555555556
Pierre Kauthen,,1936-07-30T00:00:00Z,Echternach,Luxembourg,49.811666666667,6.4216666666667
Edouard Marc Kayser,,1954-02-14T00:00:00Z,Fontainebleau,France,48.408888888889,2.7016666666667
Edouard Marc Kayser,,1954-02-14T00:00:00Z,Luxembourg,Luxembourg,49.610555555556,6.1327777777778
Edouard Marc Kayser,,1954-02-14T00:00:00Z,Brussels,Belgium,50.846666666666664,4.351666666666667
Edouard Marc Kayser,,1954-02-14T00:00:00Z,Ettelbruck,Luxembourg,49.8470016,6.0984659
Edouard Marc Kayser,,1954-02-14T00:00:00Z,Dudelange,Luxembourg,49.48056,6.0875
Edouard Marc Kayser,,1954-02-14T00:00:00Z,Esch-sur-Alzette,Luxembourg,49.496944444444,5.9805555555556
Steve Kayser,,1972-05-16T00:00:00Z,Luxembourg,Luxembourg,49.610555555556,6.1327777777778
Steve Kayser,,1972-05-16T00:00:00Z,Paris,France,48.85666666666667,2.352222222222222
Monique Kieffer,,1952-07-02T00:00:00Z,Luxembourg,Luxembourg,49.610555555556,6.1327777777778
Monique Kieffer,,1952-07-02T00:00:00Z,Strasbourg,France,48.573333333333,7.7522222222222
Monique Kieffer,,1952-07-02T00:00:00Z,Lille,France,50.631944444444,3.0575
Georges Kiesel,2002-04-27T00:00:00Z,1911-07-07T00:00:00Z,Echternach,Luxembourg,49.811666666667,6.4216666666667
Georges Kiesel,2002-04-27T00:00:00Z,1911-07-07T00:00:00Z,Gehrden,Germany,52.313494444444444,9.600841666666666
Georges Kiesel,2002-04-27T00:00:00Z,1911-07-07T00:00:00Z,Luxembourg,Luxembourg,49.610555555556,6.1327777777778
Jean Kill,1969-04-02T00:00:00Z,1903-04-08T00:00:00Z,Dudelange,Luxembourg,49.48056,6.0875
Jean Kill,1969-04-02T00:00:00Z,1903-04-08T00:00:00Z,Junglinster,Luxembourg,49.711111111111,6.2513888888889
Jean Kill,1969-04-02T00:00:00Z,1903-04-08T00:00:00Z,Luxembourg,Luxembourg,49.610555555556,6.1327777777778
Josée Kirps,,1959-11-06T00:00:00Z,Montpellier,France,43.610919444444,3.8772305555556
Josée Kirps,,1959-11-06T00:00:00Z,Portugal,Portugal,38.7,-9.183333333333334
Johann Peter Kirsch,1941-02-04T00:00:00Z,1861-11-03T00:00:00Z,Rome,Italy,41.893055555556,12.482777777778
Johann Peter Kirsch,1941-02-04T00:00:00Z,1861-11-03T00:00:00Z,Dippach,Luxembourg,49.5875,5.9833333333333
Johann Peter Kirsch,1941-02-04T00:00:00Z,1861-11-03T00:00:00Z,Fribourg,Switzerland,46.8,7.15
David Kirt,,1981-07-30T00:00:00Z,Esch-sur-Alzette,Luxembourg,49.496944444444,5.9805555555556
David Kirt,,1981-07-30T00:00:00Z,Strasbourg,France,48.573333333333,7.7522222222222
David Kirt,,1981-07-30T00:00:00Z,Luxembourg,Luxembourg,49.610555555556,6.1327777777778
René Klein,,1945-12-07T00:00:00Z,Rumelange,Luxembourg,49.459722222222,6.0305555555556
René Klein,,1945-12-07T00:00:00Z,Rollingen,Luxembourg,49.740019444444,6.1127805555556
Sonja Kmec,,1976-08-06T00:00:00Z,Herdecke,Germany,51.4,7.4333333333333
Sonja Kmec,,1976-08-06T00:00:00Z,Diekirch,Luxembourg,49.86778,6.15583
Sonja Kmec,,1976-08-06T00:00:00Z,Luxembourg,Luxembourg,49.610555555556,6.1327777777778
Sonja Kmec,,1976-08-06T00:00:00Z,Paris,France,48.85666666666667,2.352222222222222
Sonja Kmec,,1976-08-06T00:00:00Z,Oxford,United Kingdom,51.751944444444,-1.2577777777778
Philippe Knaff,1889-12-05T00:00:00Z,1822-05-12T00:00:00Z,Luxembourg,Luxembourg,49.610555555556,6.1327777777778
Philippe Knaff,1889-12-05T00:00:00Z,1822-05-12T00:00:00Z,Grevenmacher,Luxembourg,49.680555555556,6.4416666666667
Henri Koch-Kent,1999-10-08T00:00:00Z,1905-05-02T00:00:00Z,Luxembourg,Luxembourg,49.610555555556,6.1327777777778
Henri Koch-Kent,1999-10-08T00:00:00Z,1905-05-02T00:00:00Z,London,United Kingdom,51.507222222222,-0.1275
Jean Charles Kohn,1909-05-03T00:00:00Z,1857-11-14T00:00:00Z,Grevenmacher,Luxembourg,49.680555555556,6.4416666666667
Jean Charles Kohn,1909-05-03T00:00:00Z,1857-11-14T00:00:00Z,Luxembourg,Luxembourg,49.610555555556,6.1327777777778
Jean-Pierre Koltz,1989-02-06T00:00:00Z,1909-05-27T00:00:00Z,Frankfurt,Germany,50.11055555555556,8.682222222222222
Jean-Pierre Koltz,1989-02-06T00:00:00Z,1909-05-27T00:00:00Z,Luxembourg,Luxembourg,49.610555555556,6.1327777777778
Stéphanie Kovacs,,1977-03-03T00:00:00Z,Esch-sur-Alzette,Luxembourg,49.496944444444,5.9805555555556
